case,WT_Dice,TC_Dice,ET_Dice
BraTS-GLI-00009-000,0.6829979997646782,0.9405801182765419,0.9077199281867145
BraTS-GLI-00017-001,0.975504762755919,0.0,0.0
BraTS-GLI-00020-000,0.9672946343679796,0.9832919923246127,0.9594072480070426
BraTS-GLI-00052-000,0.9704753576720347,0.9677589512009984,0.9243785504210145
BraTS-GLI-00053-001,0.9897030132234989,0.9889735165272799,0.9786026340125642
BraTS-GLI-00059-000,0.9614188909690268,0.9801459075918585,0.9634603305248111
BraTS-GLI-00081-000,0.9801865535428809,0.9832796385954177,0.981567835505783
BraTS-GLI-00087-001,0.9819928107317405,0.9868999434216825,0.968356267781455
BraTS-GLI-00088-000,0.9664879797415069,0.9781434647566443,0.9459380275402152
BraTS-GLI-00089-000,0.96,0.9847046789885583,0.9764572513247739
MEAN,0.9436062002769265,0.8793778211683593,0.8605888073304374
